gene_id,EE_50-0,EE_50-30,EE_50-60,EE_50-90,EE_50-120,EE_50-150,EE_50-180,EE_50-210,EE_50-240,EE_50-300,EE_50-330,EE_50-360,EE_50-390,EE_50-420,EE_50-450,EE_50-480,EE_50-510,EE_50-540,EE_50-570,EE_50-600,EE_50-630,EE_50-660,EE_50-690,EE_50-720,L1,LIN35,L2,L3,L4,L4MALE,YA,AdultSPE9,DauerEntryDAF2,DauerDAF2,DauerExitDAF2
B0207.12,0.143906,0.564187,0.8327829999999999,2.3947599999999998,0.971234,1.2853,0.598719,0.804483,0.622817,3.9034199999999997,5.177919999999999,3.17603,3.3599900000000003,3.50874,6.52377,8.43876,9.67652,11.2613,18.0212,21.9748,29.3755,39.8296,39.6885,54.1002,22.6731,14.7576,19.1813,8.53558,4.9804,5.36901,4.6563,1.3501,21.1589,19.537,20.4334
C06A5.3,12.4118,12.0014,13.3783,14.5522,17.8428,24.363000000000003,9.43711,15.3471,7.591060000000001,47.315,50.6415,47.3518,49.8681,43.6731,45.5763,43.3316,30.4365,35.6406,33.7316,32.6444,31.4323,31.8719,28.656999999999996,28.1586,20.1113,18.8649,13.124,9.2399,10.8773,9.09742,27.8763,29.0045,17.0737,28.0368,14.8094
C06A5.11,17.4254,15.1953,10.2246,13.6444,11.925999999999998,16.6215,7.607880000000001,11.8158,7.79793,13.62,12.5182,7.7375,9.14397,6.8383199999999995,10.8882,14.9885,11.9877,12.0562,9.41952,10.4091,6.6522,6.45585,7.6383600000000005,8.92883,5.87765,12.2389,7.06262,5.096509999999999,6.31806,3.9979400000000003,12.4608,6.02085,8.20438,12.3683,7.0873
C06A5.7,62.3922,58.7087,30.3935,39.8217,36.8325,10.2093,7.83183,9.27662,3.47362,70.675,87.1735,76.4811,68.9869,79.3801,94.689,87.60600000000001,90.4471,108.73200000000001,136.474,144.329,141.107,144.814,172.94400000000002,173.717,67.0598,31.565,65.8592,43.857,26.9678,33.2459,51.9992,46.43,79.565,97.2893,51.9501
C06A5.1,7.1521,13.5104,15.5644,8.44553,12.4625,2.23922,0.419605,0.8558969999999999,0.155833,9.462480000000001,9.096260000000001,5.679469999999999,5.2895199999999996,6.46834,7.76502,6.194380000000001,4.284,5.15845,3.8249400000000002,5.82869,5.099469999999999,5.3358099999999995,4.68365,3.63485,4.40647,4.0113199999999996,5.746919999999999,6.361280000000001,6.1798,3.9927099999999998,13.6581,16.6116,4.600169999999999,6.46307,5.03503
B0025.2,43.4035,114.471,132.55,92.6938,170.543,852.5880000000001,125.76899999999999,157.175,37.9021,93.5589,73.5123,74.3298,96.9815,89.6119,97.3506,69.3285,52.8073,42.8381,54.2291,40.2825,43.4706,48.3218,35.592,51.1492,39.4117,84.3324,42.1268,40.9174,41.0182,44.6466,81.3164,39.8063,58.4508,75.5098,49.6211
B0025.4,58.1797,139.22299999999998,74.5052,126.24799999999999,151.418,557.06,152.751,176.415,91.0961,201.553,113.97,297.564,458.69199999999995,355.276,208.5,200.30599999999998,164.41400000000002,158.621,189.878,96.5965,95.5748,106.695,65.976,116.164,27.3511,50.3577,35.114000000000004,26.3705,40.2403,19.4397,88.7374,28.5801,40.2461,60.8651,37.8648
B0025.1,16.63,29.3353,41.1102,45.4733,51.3699,48.1924,21.5051,29.5336,13.6779,66.6502,64.5169,94.9464,70.293,64.0501,62.3977,50.5464,37.6297,41.5776,40.5717,37.864000000000004,34.6554,33.6674,34.5863,31.1729,22.965999999999998,36.849000000000004,30.1123,23.2654,13.7473,14.7056,25.391,15.8702,40.7556,45.1633,34.3897
C27A12.3,30.3149,28.2529,21.6484,21.929000000000002,20.4979,109.618,19.0162,36.8578,12.5076,29.4349,24.8753,19.3901,20.3797,23.6223,28.9528,23.6357,20.5371,19.6192,18.2475,15.9435,16.1137,15.0536,14.3455,15.9721,9.863999999999999,17.3532,10.7041,9.43988,11.7546,9.96953,37.0208,32.036,10.1836,14.0765,10.3647
C27A12.2,8.22595,22.6692,23.3985,16.6965,32.8065,19.2232,5.82446,9.15987,4.54504,32.6785,30.7854,20.6169,31.8057,27.9886,36.6686,30.3065,23.7282,19.4104,29.0585,16.1459,21.0163,22.6101,11.538,20.5444,11.4966,13.2215,13.325,11.1465,12.6707,7.10438,34.5365,23.8671,12.1589,20.8444,11.2051
C27A12.9,2.17695,3.91891,4.95702,4.49845,5.71556,4.04606,0.6613060000000001,1.08412,0.412472,13.0324,14.7079,10.0906,10.3717,10.8229,14.7128,11.8872,9.86939,10.1707,10.3845,7.56018,6.76262,7.06332,4.09324,6.33708,3.7170900000000002,3.75769,5.87875,7.343089999999999,6.76815,5.07761,14.5713,12.050999999999998,4.19468,9.2007,4.07736
C27A12.10,83.0995,130.042,144.291,152.63,156.57,927.3380000000001,188.854,230.199,166.012,193.799,123.781,239.987,263.58,234.644,160.509,158.158,154.30200000000002,109.75299999999999,115.245,72.5024,67.6181,58.1742,38.4327,50.1709,27.1185,38.0467,26.7129,21.6036,21.3671,17.2133,37.2753,79.3911,18.9944,19.1071,18.0068
T27A3.4,0.41543800000000003,0.612162,0.88435,0.27129699999999995,1.11289,0.0,1.5693,0.0,0.23945,0.0,0.199888,0.0,0.28071399999999996,0.0,0.256772,0.384911,0.120781,0.0,0.0,0.0,0.0,0.30812399999999995,0.187953,0.31361300000000003,0.017868000000000002,0.0689404,0.09003530000000001,30.7047,106.63600000000001,264.38,54.7694,2.0474099999999997,0.14285899999999999,0.0,0.196721
T27A3.2,179.488,218.803,193.40900000000002,174.329,181.141,19.428,18.36,17.7331,15.9174,45.7423,44.0094,76.5578,45.8769,45.5759,37.7467,29.6683,27.1516,38.1981,32.3562,33.0761,25.6722,24.2105,30.4,27.5614,27.008000000000003,27.455,37.049,48.6867,33.4077,39.0613,65.8897,84.5402,25.9955,37.3609,21.8512
F56F4.5,0.0,0.0464851,0.042136900000000005,0.479394,0.058963800000000004,0.0,0.0979182,0.175401,0.400901,2.01098,1.7855599999999998,1.099,1.5058,1.78607,2.05613,1.30866,1.19611,2.1250299999999998,2.47919,4.44301,9.43787,12.1965,17.4629,15.6223,8.34042,8.21755,13.629000000000001,5.860119999999999,9.21903,7.11698,7.06325,5.06021,35.6757,7.71692,12.2136
