gene_id,Embryo0-2h,Embryo2-4h,Embryo4-6h,Embryo6-8h,Embryo8-10h,Embryo10-12h,Embryo12-14h,Embryo14-16h,Embryo16-18h,Embryo18-20h,Embryo20-22h,Embryo22-24h,L1,L2,L3+12h,L3PS1-2,L3PS3-6,L3PS7-9,Prepupae,Prepupae+12h,Prepupae+24h,Prepupae+2d,Prepupae+3d,Prepupae+4d,Male+1d,Male+5d,Male+30d,Female+1d,Female+5d,Female+30d
FBgn0037022,27.7271,4.59652,8.575,7.323519999999999,7.073919999999999,5.75739,6.996360000000001,4.48041,5.52602,4.78717,4.5109900000000005,5.851,6.5012099999999995,8.39123,7.469689999999999,9.796289999999999,10.8306,17.3905,19.8619,13.5012,13.7885,11.4305,8.96842,5.98461,9.954930000000001,11.4247,12.3594,11.222999999999999,24.5491,25.1168
FBgn0037026,47.6388,27.1761,29.8209,35.3017,34.6519,34.6788,23.0322,20.2658,13.880999999999998,10.355,8.40498,9.61182,10.3773,8.50809,7.294510000000001,8.17802,12.7031,12.5724,15.9333,16.2079,22.7468,14.284,8.23099,8.29482,8.86267,11.8154,15.5092,16.5541,22.7092,24.7838
FBgn0259243,71.196,59.5826,27.8778,25.2995,35.7191,45.1066,39.6285,43.5037,47.7414,66.304,99.0357,96.8435,76.6019,66.7452,74.9574,60.8793,57.2991,47.6172,40.4162,40.4854,38.7149,32.8936,43.3986,146.311,62.4585,53.1086,55.3478,64.7423,53.5582,58.4383
FBgn0027055,74.6913,99.9146,51.3653,38.8168,45.2528,32.7186,32.2079,28.5494,22.9382,13.4459,26.1896,25.3686,20.4883,23.201,22.4079,30.6251,39.9759,52.3033,48.136,44.2599,43.4867,28.5455,17.9176,15.3736,17.7847,21.8165,23.1711,31.322,46.4749,46.8498
FBgn0003415,54.0569,29.6523,36.1785,32.5607,28.2872,15.2396,29.5728,21.0869,12.6344,10.3254,9.15019,9.940669999999999,9.246260000000001,6.6361300000000005,5.19316,3.8725199999999997,10.935,13.7885,15.3772,15.6149,20.7761,18.1134,8.83712,8.223139999999999,8.62635,9.81508,10.7105,25.5499,42.163999999999994,43.6489
FBgn0028402,30.0199,21.8989,42.7166,46.0053,47.1587,51.2854,37.0582,24.1625,17.2605,14.6625,14.7913,13.4992,29.349,19.3817,14.4025,13.3794,15.1648,17.1734,20.572,20.6056,24.9313,18.7145,13.8067,10.2763,10.5823,12.2118,14.5112,20.9472,24.7312,26.5591
FBgn0020294,0.228444,0.840519,0.7334649999999999,1.50944,3.29086,6.9882100000000005,14.4279,21.0641,20.9251,15.6938,13.763,13.1239,12.7874,9.08122,9.3663,7.83827,14.3855,22.3394,16.9245,21.6021,25.3491,51.9385,14.9151,25.8171,9.459480000000001,7.576789999999999,6.24159,6.89704,2.33733,2.29461
FBgn0037050,0.774483,6.21981,5.847980000000001,5.47025,7.3839,11.4515,13.5141,10.5234,11.1797,10.6999,7.9019699999999995,9.676969999999999,6.35767,2.27647,1.52306,3.1812400000000003,5.08102,6.15074,6.29357,8.87177,12.7318,15.9943,10.7427,5.79237,9.17333,13.4021,11.9754,1.6521700000000001,0.881274,0.9952489999999999
FBgn0021760,51.4163,45.0171,41.9955,34.814,38.2592,21.8238,29.1156,24.8718,24.9323,27.7858,29.7817,31.3637,22.5519,20.072,18.8808,16.4559,30.3328,33.0537,38.5511,46.6987,65.5458,62.2886,56.9018,51.4141,72.3856,95.6271,102.051,21.7781,31.7044,32.7529
FBgn0041607,55.2555,15.3017,4.6742099999999995,6.17519,21.233,20.4012,11.8013,5.35457,4.33326,21.1804,16.7141,31.3191,27.7655,28.5288,47.4761,43.2055,43.2649,27.0697,20.3488,49.729,16.2529,24.5028,14.304,24.0618,12.917,12.287,12.0381,37.6902,60.8736,67.029
