gene_id	Embryo0-2h	Embryo2-4h	Embryo4-6h	Embryo6-8h	Embryo8-10h	Embryo10-12h	Embryo12-14h	Embryo14-16h	Embryo16-18h	Embryo18-20h	Embryo20-22h	Embryo22-24h	L1	L2	L3+12h	L3PS1-2	L3PS3-6	L3PS7-9	Prepupae	Prepupae+12h	Prepupae+24h	Prepupae+2d	Prepupae+3d	Prepupae+4d	Male+1d	Male+5d	Male+30d	Female+1d	Female+5d	Female+30d
FBgn0036411	0.193642	1.79517	7.79573	9.81826	5.43436	2.85826	1.49466	1.6055	1.22226	1.65964	1.02188	0.817337	0.771594	0.223191	0.147492	0.917494	2.73478	3.21402	3.81147	1.14171	1.84918	1.8717	1.42993	2.85957	2.51942	3.95444	7.40085	0.344107	0.209703	0.368747
FBgn0042630	0.0760798	0.452877	0.435764	2.10576	4.57634	10.9045	10.0423	9.09163	5.69166	5.58273	3.39276	2.91205	3.6712	2.93975	2.0099	1.79405	2.52924	2.12432	2.57375	3.52976	5.83102	3.99327	1.62115	1.77071	1.32363	1.78118	1.90097	0.956085	0.214493	0.301486
FBgn0000411	6.87559	102.475	92.7874	82.6423	56.6133	35.1612	22.2372	14.5873	10.7178	12.6005	6.3574	7.44578	6.28046	4.03339	3.22075	2.56336	4.23128	5.02652	6.74901	6.39293	7.85881	5.06218	3.08571	2.48253	3.25809	4.45094	4.39178	1.17143	0.379033	0.387671
FBgn0036414	0.0567935	0.925804	1.26382	1.1176	0.888985	0.271006	0.37612	0.449225	0.591314	0.554773	0.281766	0.443887	0.102827	0.042958	0.0182956	0.028877	0.00843318	0.0397769	0.0424488	0.0664215	0.103447	0.114238	0.164572	0.354124	0.137338	0.182688	0.193732	0.0743475	0	0.0160753
FBgn0013718	77.4731	68.4583	54.438	66.3802	68.6973	67.5124	91.4731	76.4213	82.6257	74.5207	67.5787	75.342	18.9324	23.3237	16.6134	14.577	30.3888	48.3024	56.7182	57.8984	51.2744	85.3562	45.1849	39.0182	40.3704	35.6853	32.431	38.1066	54.7671	49.8738
FBgn0052141	0	0.232445	0.249756	0.353691	0.18224	0.0562479	0.0875523	0	0.0579851	0.0302113	0	0.0248468	0	0	0.0471226	3.50411	10.4508	21.6181	16.3031	27.2045	36.067	50.2344	40.7628	16.0768	45.2529	48.022	30.7445	0	0	0
FBgn0036415	0	0.241627	0.139876	0.490606	1.25272	1.84616	2.3002	0.877594	0.604577	0.408685	0.65508	1.21134	1.52956	2.02699	2.99715	36.6247	58.4926	79.2271	81.9862	126.748	175.549	201.295	159.828	102.804	193.292	276.392	243.931	2.66872	3.38196	2.06245
FBgn0036416	0.0641518	0.25749	0.565558	0.812737	0.885756	0.448187	0.995673	0.745249	0.714185	0.614247	0.307357	0.276137	0.162916	0.368231	0.276295	0.31475	22.5898	930.763	6263.55	15.9849	27.9681	2.04939	1.46511	2.45927	0.421948	0.195907	0.455752	0.432635	0.274126	0.0726707
FBgn0085273	0	0	0.0342299	0.0527423	0.266846	0.0519244	0.235704	0	0.108476	0.217287	0.364735	0.210246	0.411619	0.568289	0.176423	1.91084	22.2828	908.043	5576.39	23.0436	24.3259	2.10538	1.21708	4.07967	4.80331	4.38668	4.8408	1.88378	0.757453	1.38219
FBgn0036417	0	0	0.00965693	0	0.252226	0.0414864	0.350442	0.0453023	0.0141447	0.0301967	0.365562	0.142158	0.420425	0.0318554	0.0229813	0.358421	23.241	665.784	3823.7	12.7123	16.2733	0.414283	0.0810208	0.294877	0.889676	0.459152	0.303494	0.546457	0.114524	0.0604781
